Drug Name,Indication
SL017,"Investigated for use/treatment in acne, actinic keratosis, cancer/tumors (unspecified), keratoses, and skin infections/disorders."
PM02734,Investigated for use/treatment in cancer/tumors (unspecified) and solid tumors.
Topsalysin,"Investigated for use/treatment in benign prostatic hyperplasia, cancer/tumors (unspecified), prostate cancer, prostate disorders, and solid tumors."
LY2275796,Investigated for use/treatment in cancer/tumors (unspecified) and solid tumors.
Vintafolide,Investigated for use/treatment in solid tumors.
AT9283,"Investigated for use/treatment in cancer/tumors (unspecified), leukemia (myeloid), and solid tumors."
Benzimate,Investigated for use/treatment in cancer/tumors (unspecified).
PTC299,Investigated for use/treatment in cancer/tumors (unspecified) and solid tumors.
AS1409,Investigated for use/treatment in kidney cancer and melanoma.
EPC2407,Investigated for use/treatment in cancer/tumors (unspecified).
XL281,Investigated for use/treatment in solid tumors.
CYC116,Advanced solid tumors
XL418,Cancer
SF1126,For the treatment of various forms of cancer.
GMX1777,Intended for the treatment of solid tumors and lymphomas.
Alisertib,For the treatment of various forms of cancer.
Pracinostat,For the treatment of various forms of cancer.
Tetrodotoxin,For the treatment of chronic and breakthrough pain in advanced cancer patients as well as for the treatment of opioid dependence.
XL765,For the treatment of various forms of cancer.
XL019,For the treatment of various forms of cancer.
Gallium nitrate,Gallium nitrate does not currently have approved indications. It was previously used in the treatment of cancer-related hypercalcemia.[L47721]
Samarium (153Sm) lexidronam,"Investigated for use/treatment in bone metastases, multiple myeloma, prostate cancer, and rheumatoid arthritis."
MCC,Bladder cancer
SB-249553,lung cancer/melanoma
Tarenflurbil,Investigated for use/treatment in alzheimer's disease and prostate cancer.
IDM-1,Ovarian cancer
IDM-2,Investigated for use/treatment in bladder cancer.
Motexafin lutetium,"Investigated for use/treatment in brain cancer, breast cancer, cervical dysplasia/cancer, prostate cancer, cancer/tumors (unspecified), coronary artery disease, macular degeneration, and peripheral vascular disease."
Paclitaxel docosahexaenoic acid,"Investigated for use/treatment in breast cancer, colorectal cancer, gastric cancer, kidney cancer, lung cancer, pancreatic cancer, prostate cancer, and skin cancer."
Keyhole limpet hemocyanin,Investigated for use/treatment in bladder cancer and solid tumors.
Girentuximab,Investigated for use/treatment in gall bladder cancer and renal cell carcinoma.
Cintredekin besudotox,Investigated for use/treatment in brain cancer.
ANX-510,"Investigated for use/treatment in breast cancer, colorectal cancer, gall bladder cancer, and pancreatic cancer."
Oportuzumab monatox,Investigated for use/treatment in bladder cancer and head and neck cancer.
INGN 201,"Investigated for use/treatment in bladder cancer, brain cancer, breast cancer, esophageal cancer, head and neck cancer, lung cancer, oral cavity cancer, ovarian cancer, and prostate cancer."
INGN 225,"Investigated for use/treatment in breast cancer, head and neck cancer, and lung cancer."
SOT-107,Investigated for use/treatment in brain cancer.
CMC 001,Investigated for use/treatment in liver cancer.
Rindopepimut,Investigated for use/treatment in brain cancer.
Regramostim,Investigated for use/treatment in adverse effects (chemotherapy) and bone marrow transplant.
Neovastat,"Investigated for use/treatment in kidney cancer, lung cancer, macular degeneration, multiple myeloma, prostate cancer, and psoriasis and psoriatic disorders."
Tetrachlorodecaoxide,"Investigated for use/treatment in acquired immune deficiency syndrome (AIDS) and aids-related infections, cancer/tumors (unspecified), HIV infection, and inflammatory disorders (unspecified)."
INS 316,Investigated for use/treatment in lung cancer.
NOV-002,"Investigated for use/treatment in breast cancer, lung cancer, and ovarian cancer."
Corticorelin,Investigated for use/treatment in brain cancer and neurologic disorders.
GTI-2501,Investigated for use/treatment in prostate cancer and solid tumors.
VB2-011,Investigated for use/treatment in cancer/tumors (unspecified).
Pipendoxifene,Investigated for use/treatment in breast cancer.
OSI-461,"Investigated for use/treatment in crohn's disease, inflammatory bowel disease, kidney cancer, leukemia (lymphoid), and prostate cancer."
GW 597599,"Investigated for use/treatment in adverse effects (chemotherapy), anxiety disorders, depression, and gastrointestinal diseases and disorders (miscellaneous)."
Gallium maltolate,"Investigated for use/treatment in bladder cancer, lymphoma (unspecified), multiple myeloma, paget's disease, and prostate cancer."
Canertinib,Investigated for use/treatment in breast cancer and lung cancer.
Talactoferrin alfa,"Investigated for use/treatment in adverse effects (chemotherapy), cancer/tumors (unspecified), diabetic foot ulcers, lung cancer, solid tumors, and ulcers."
Motexafin gadolinium,"Investigated for use/treatment in brain cancer, cancer/tumors (unspecified), lung cancer, and lymphoma (non-hodgkin's)."
ABT-510,"Investigated for use/treatment in lymphoma (unspecified), melanoma, and solid tumors."
NAV 1800,Investigated for use/treatment in colorectal cancer and solid tumors.
IDD-1,Investigated for use/treatment in prostate cancer.
AVI-4557,Investigated for use/treatment in adverse effects (chemotherapy) and adverse effects (drug).
PX-12,"Investigated for use/treatment in cancer/tumors (unspecified), gastric cancer, and pancreatic cancer."
FM-VP4,"Investigated for use/treatment in hyperlipidemia and cancer/tumors (unspecified).

Monotherapy is recommended for people with marginally high LDL-cholesterol or who cannot be prescribed statins due to drug interactions and safety concerns. Combination Therapy is recommended if statin therapy alone is either insufficient to achieve the guidelines set by the NCEP or there is concern over side effects as Statin doses can be lowered in combination treatment without losing efficacy."
P54,"Investigated for use/treatment in cancer/tumors (unspecified), crohn's disease, inflammatory bowel disease, osteoarthritis, and ulcerative colitis."
PH-284,"Investigated for use/treatment in anorexia and other conditions causing harmful weight loss. The manufacturer suggests it could be relevant for treatment of weight loss and the associated symptoms-- i.e., lack of energy, decrease in appetite, physical wasting, vulnerability to toxicity, and sometimes reduced life expectancy-- in patients with eating disorders, patients with advanced cancer, patients with AIDS, and patients experiencing loss of appetite due to aging, acute illness, or pregnancy."
OSI-7904L,Investigated for use/treatment in gastric cancer.
Chlorotoxin I-131,"Investigated for use/treatment in various forms of brain cancer; Malignant Glioma, Glioblastoma Multiforme, GBM, Anaplastic Astrocytoma,  Oligo-Astrocytoma,  Gliosarcoma"
ISS-1018,"Investigated for use/treatment in colorectal cancer, hepatitis (viral, B), and lymphoma (non-hodgkin's).
ISS 1018 is currently being investigated in combination with HBsAg vaccine as a prophylactic treatment for to prevent Hepatitis B in adults. It has also been investigated in combination with rituximab for treatment of b-cell or non-hodgkin's lymphoma."
SGN-30,"Investigated for use/treatment in autoimmune diseases, cancer/tumors (unspecified), lymphoma (non-hodgkin's), and lymphoma (unspecified)."
WX-UK1,Investigated for use/treatment in solid tumors.
MUC1 Dendritic Cell Vaccine,Investigated for use/treatment in cancer/tumors (unspecified) and ovarian cancer.
